epoch,phase,train_loss,lr_last_backbone_stage,lr_decoder,val_loss,iou,dice,precision,recall,true_positive_pixels,false_positive_pixels,false_negative_pixels,valid_pixels,skipped_batches
1,1,0.09003978515309947,5e-06,5e-05,0.051322865299880505,0.92895421391551,0.9631687545655753,0.9799157529270173,0.9469845583230156,706727,14485,39565,3538944,0
2,1,0.062255050987005234,4.992293334332821e-06,4.99229333433282e-05,0.04207701701670885,0.9356388659772011,0.9667494101538893,0.9857451818965481,0.9484719117985989,707837,10236,38455,3538944,0
3,1,0.04374358132481575,4.9692208514878445e-06,4.9692208514878444e-05,0.03780525488158067,0.9426226585292731,0.9704639801153322,0.9849970328047586,0.9563535452611043,713719,10871,32573,3538944,0
4,1,0.04160206546740872,4.930924800994191e-06,4.9309248009941914e-05,0.03489678849776586,0.9459211586791756,0.972209130323897,0.9871188800178985,0.9577430817964014,714756,9327,31536,3538944,0
5,1,0.03638074376753398,4.877641290737884e-06,4.8776412907378836e-05,0.033710286021232605,0.9476604766391751,0.9731269777311801,0.9871354977274827,0.9595104865119819,716075,9332,30217,3538944,0
6,1,0.034075476282409256,4.809698831278216e-06,4.809698831278216e-05,0.03334271969894568,0.9485859649820141,0.9736146949932175,0.9883174377047347,0.9593429917512181,715950,8463,30342,3538944,0
7,1,0.037056340862597736,4.727516310470918e-06,4.7275163104709186e-05,0.0318708848208189,0.9510993698959719,0.9749368838622323,0.9882927903743168,0.961937150605929,717886,8504,28406,3538944,0
8,1,0.03234088697603771,4.631600410885229e-06,4.63160041088523e-05,0.03121614083647728,0.9519940211169062,0.9754066977850551,0.9884918931413664,0.9626634078886013,718428,8364,27864,3538944,0
9,1,0.029496609206710545,4.5225424859373675e-06,4.522542485937368e-05,0.031134429077307384,0.9519876021773079,0.9754033285000696,0.988936063557729,0.9622359612591318,718109,8034,28183,3538944,0
10,1,0.027988122935806003,4.401014914000077e-06,4.401014914000077e-05,0.030127783461163442,0.9539644722649925,0.9764399361460016,0.9884858620225669,0.9646840646824567,719936,8386,26356,3538944,0
11,1,0.027589333270277294,4.267766952966368e-06,4.267766952966368e-05,0.029406748712062836,0.9541668435688964,0.97654593486634,0.9897878712390945,0.9636536369142373,719167,7420,27125,3538944,0
12,1,0.025580435352666037,4.123620120825459e-06,4.123620120825459e-05,0.02931152004748583,0.9549765263818013,0.9769698136982102,0.9890710757692059,0.9651610897611123,720292,7959,26000,3538944,0
13,1,0.025381793028541974,3.969463130731182e-06,3.969463130731182e-05,0.029489358887076378,0.9543252457450618,0.9766288879732886,0.9896304631625574,0.9639645071902151,719399,7538,26893,3538944,0
14,1,0.027135322003492286,3.8062464117898713e-06,3.806246411789871e-05,0.028824382461607456,0.9553524426805773,0.9771664911425298,0.989209694936012,0.9654130018813012,720480,7859,25812,3538944,0
15,1,0.024323591217398643,3.6349762493488662e-06,3.634976249348866e-05,0.02803385475029548,0.95645038011204,0.97774049353326,0.9882063915691508,0.9674939567890316,722033,8617,24259,3538944,0
16,1,0.024906441888638903,3.456708580912724e-06,3.4567085809127236e-05,0.02806623699143529,0.956338134578909,0.9776818410634883,0.9888101786945254,0.9668011984585122,721516,8165,24776,3538944,0
17,1,0.02536026763596705,3.272542485937368e-06,3.272542485937368e-05,0.028217587154358625,0.9558770271614765,0.9774408246399017,0.9896538510665475,0.9655255583605344,720564,7533,25728,3538944,0
18,1,0.022903985822839396,3.0836134096397634e-06,3.083613409639763e-05,0.028594070735077064,0.955712551493562,0.9773548272865479,0.9897732472104172,0.9652441671624512,720354,7443,25938,3538944,0
19,1,0.023381477434720313,2.891086162600577e-06,2.8910861626005762e-05,0.02819853586455186,0.9556850561319084,0.9773404497165096,0.9900990371275795,0.9649064977247511,720102,7201,26190,3538944,0
20,1,0.024940673794065202,2.696147739319612e-06,2.6961477393196116e-05,0.027270515449345112,0.957118703628805,0.9780895781683112,0.9892911136666114,0.9671388678962122,721768,7813,24524,3538944,0
21,1,0.02291371247598103,2.4999999999999998e-06,2.499999999999999e-05,0.027413337646673124,0.9565643673647006,0.9778000492292503,0.989780915681572,0.9661057602118206,720997,7444,25295,3538944,0
22,1,0.02181832319391625,2.303852260680388e-06,2.303852260680387e-05,0.027968584870298702,0.9559277618328231,0.9774673487297514,0.9903807141157588,0.9648863983534595,720087,6994,26205,3538944,0
23,1,0.02170933500996658,2.1089138373994234e-06,2.1089138373994227e-05,0.027630913071334362,0.9567299081823935,0.9778865281116901,0.9897275220065711,0.9663255133379428,721161,7485,25131,3538944,0
24,1,0.021034861595502923,1.9163865903602366e-06,1.916386590360236e-05,0.02719765684256951,0.9572965064998282,0.9781824095846688,0.9895105278599612,0.9671107287764039,721747,7651,24545,3538944,0
25,1,0.02076412553765944,1.7274575140626313e-06,1.7274575140626308e-05,0.02733562948803107,0.9567114276574875,0.977876874570955,0.990222719229797,0.9658350886784262,720795,7117,25497,3538944,0
26,1,0.02321585925029857,1.5432914190872753e-06,1.543291419087275e-05,0.026771788485348225,0.9574115000225512,0.9782424390696804,0.9896474227567473,0.9670973291955428,721737,7550,24555,3538944,0
27,1,0.021431551155235085,1.3650237506511327e-06,1.3650237506511325e-05,0.027780337259173393,0.9564378456997866,0.9777339441700322,0.9900380510185859,0.9657319119057955,720718,7252,25574,3538944,0
28,1,0.022979614777224405,1.1937535882101276e-06,1.1937535882101275e-05,0.026830391492694616,0.9580826015811681,0.978592630165355,0.9892736212413518,0.9681398165865371,722515,7834,23777,3538944,0
29,1,0.02103324697485992,1.030536869268817e-06,1.030536869268817e-05,0.026593185185144346,0.9577692752638757,0.9784291615617309,0.9897560199834385,0.9673586210223344,721932,7472,24360,3538944,0
30,1,0.0209084062437926,8.763798791745408e-07,8.763798791745408e-06,0.027073096794386704,0.957289129843328,0.9781785585453638,0.9901262326766379,0.9665157873861706,721303,7193,24989,3538944,0
31,1,0.021851413111601558,7.322330470336311e-07,7.32233047033631e-06,0.026708050010104973,0.9579773837673728,0.9785377417629969,0.9899544067738507,0.9673814003097984,721949,7326,24343,3538944,0
32,1,0.021093869847910746,5.989850859999224e-07,5.989850859999223e-06,0.027200969867408276,0.9573208606968607,0.9781951236712696,0.9901925252325569,0.96648496835019,721280,7144,25012,3538944,0
33,1,0.02313966966633286,4.774575140626314e-07,4.774575140626314e-06,0.026327316494037706,0.9584685002506611,0.9787938893354561,0.9894387360437018,0.9683756492096928,722691,7714,23601,3538944,0
34,1,0.023280203502093044,3.683995891147694e-07,3.6839958911476936e-06,0.02725705100844304,0.9576818148041994,0.9783835223498599,0.9899432697266632,0.9670906294051123,721732,7332,24560,3538944,0
35,1,0.02088936929191862,2.724836895290804e-07,2.724836895290804e-06,0.026599318254739046,0.9582671639157436,0.9786888955433397,0.9897841166652507,0.9678396659752483,722291,7455,24001,3538944,0
36,1,0.02132375958774771,1.9030116872178306e-07,1.9030116872178306e-06,0.026798293460160494,0.957990538122718,0.9785446042463719,0.989477793912162,0.9678503856399372,722299,7681,23993,3538944,0
37,1,0.021573271549173764,1.223587092621161e-07,1.223587092621161e-06,0.02609055256471038,0.9588201453344256,0.9789772150528175,0.988917720982503,0.96923456234289,723332,8106,22960,3538944,0
38,1,0.02092244223292385,6.907519900580858e-08,6.907519900580857e-07,0.026501102062563103,0.9581064680642231,0.978605079642481,0.989530036589392,0.9679187235023289,722350,7643,23942,3538944,0
39,1,0.02064173285450254,3.077914851215584e-08,3.0779148512155835e-07,0.02629882749170065,0.9586150474101752,0.9788702978441083,0.9892299503436537,0.9687253782701677,722952,7871,23340,3538944,0
40,1,0.022605075793606894,7.706665667180087e-09,7.706665667180087e-08,0.027337700438996155,0.9570586923391443,0.9780582422852476,0.9903946676118138,0.966025362726654,720937,6992,25355,3538944,0
